file,x_col,y_col,frequency,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 1,12552.47515,12533.79785,576,717,647,647,12609.85897,22.58819447,22.57024279,0.001363128,0.01795168,13.1694731,22.39136799
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 1,12531.35088,12517.82648,863,1009,940,940,12520.13273,22.58634012,22.56972811,0.001363128,0.016612013,12.18668456,21.7177114
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 2,12557.90928,12553.87874,363,496,434,434,12581.69322,22.62757762,22.56861137,0.001363128,0.058966253,43.25803875,32.72133651
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 2,12547.8887,12565.09423,1116,1247,1191,1191,12581.34305,22.62873876,22.56817232,0.001363128,0.060566449,44.43195357,32.95390817
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 3,12590.59771,12559.13656,153,299,238,238,12621.88363,22.68516398,22.56782982,0.001363128,0.117334169,86.07713371,38.69775594
flex08_100_a.csv,sensor1, sensor2,2.415,Crack 3,12556.92921,12634.04997,1324,1481,1393,1393,12673.57393,22.69203568,22.56779739,0.001363128,0.124238293,91.14204581,39.19437545
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 1,12556.46577,12547.07139,558,685,613,613,12603.70675,22.59147015,22.57179052,0.002605117,0.019679626,7.554219513,17.56379201
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 1,12513.1621,12527.03818,839,970,894,894,12524.68778,22.58954153,22.57164071,0.002605117,0.017900821,6.87140729,16.74091383
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 2,12566.99366,12554.38858,349,465,408,408,12565.17453,22.63220349,22.56907527,0.002605117,0.063128222,24.2323932,27.68792615
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 2,12547.65553,12557.70831,1065,1195,1132,1132,12557.8591,22.63422096,22.56882071,0.002605117,0.065400251,25.10453411,27.99504332
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 3,12605.06193,12562.35114,139,269,210,210,12601.63423,22.69748411,22.56954799,0.002605117,0.127936118,49.1095458,33.82331835
flex08_100_b.csv,sensor1, sensor2,2.415,Crack 3,12561.03029,12616.25649,1270,1418,1335,1335,12605.77467,22.69750298,22.56882187,0.002605117,0.128681109,49.39551818,33.87375091
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 1,12570.31903,12575.32082,569,692,625,625,12596.68392,22.58210768,22.55711551,0.002008691,0.024992178,12.4420193,21.89781741
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 1,12541.91803,12546.39666,822,977,903,903,12542.77758,22.58286936,22.55736112,0.002008691,0.025508237,12.69893271,22.07534444
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 2,12575.18408,12567.17766,348,478,419,419,12566.57862,22.65142035,22.55589698,0.002008691,0.095523368,47.55502322,33.54392796
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 2,12564.03059,12586.76797,1068,1217,1127,1127,12552.28393,22.6422159,22.55534922,0.002008691,0.086866679,43.24540712,32.7187998
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 3,12594.09295,12574.83176,149,283,226,226,12592.99977,22.76465683,22.55439258,0.002008691,0.210264255,104.6772301,40.39704444
flex08_100_c.csv,sensor1, sensor2,2.415,Crack 3,12575.89583,12621.15113,1273,1418,1338,1338,12567.6577,22.72112453,22.55267545,0.002008691,0.168449074,83.86010484,38.47110802
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 1,6324.462943,6310.079414,638,769,693,693,6317.006715,20.32063523,20.28863908,0.001318511,0.031996146,24.26688692,27.70028133
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 1,6311.707309,6342.690247,900,1048,983,983,6329.838634,20.32280425,20.28898023,0.001318511,0.033824019,25.65320379,28.18283223
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 2,6374.509655,6342.071844,403,547,474,474,6341.28116,20.39248855,20.28768216,0.001318511,0.104806397,79.48847904,38.00608374
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 2,6365.485426,6408.34571,1158,1312,1219,1219,6364.401488,20.39547336,20.28867001,0.001318511,0.106803351,81.00303213,38.17002552
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 3,6444.577673,6395.36986,168,318,250,250,6384.10256,20.48899527,20.28749988,0.001318511,0.201495391,152.820464,43.68363028
flex08_220_a.csv,sensor1, sensor2,1.643,Crack 3,6430.787549,6487.678455,1389,1541,1459,1459,6421.397066,20.49185659,20.2881604,0.001318511,0.203696192,154.4896207,43.77798614
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 1,6325.404334,6309.360008,580,715,646,646,6315.171046,20.31999343,20.28875754,0.00277658,0.031235893,11.24977091,21.02287357
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 1,6316.403245,6340.398229,820,947,881,881,6327.297424,20.31819548,20.28879622,0.00277658,0.029399256,10.58829644,20.49652183
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 2,6370.071614,6340.556471,362,493,429,429,6338.847823,20.39216158,20.28885268,0.00277658,0.1033089,37.20724312,31.41254984
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 2,6362.417562,6400.943835,1049,1193,1119,1119,6361.343953,20.39296552,20.29025228,0.00277658,0.102713246,36.99271497,31.36232413
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 3,6442.511477,6390.148697,120,279,203,203,6381.659424,20.48857277,20.29034769,0.00277658,0.198225083,71.39180487,37.07296723
flex08_220_b.csv,sensor1, sensor2,1.643,Crack 3,6425.368449,6486.457649,1283,1445,1360,1360,6419.599923,20.49096275,20.29350936,0.00277658,0.197453383,71.11387304,37.03908664
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 1,6320.444594,6303.970908,594,739,666,666,6311.305531,20.32057583,20.29071166,0.001888586,0.029864172,15.81297891,23.98027383
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 1,6308.184817,6337.499114,876,1021,939,939,6323.163565,20.32238321,20.29087314,0.001888586,0.031510069,16.68447611,24.44625149
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 2,6371.455422,6332.766257,365,523,441,441,6338.411211,20.38891111,20.28871254,0.001888586,0.100198569,53.05480709,34.4944948
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 2,6360.892916,6400.766583,1121,1256,1182,1182,6363.845739,20.39139369,20.29088976,0.001888586,0.100503931,53.21649506,34.52092535
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 3,6439.72346,6389.130673,136,289,220,220,6385.372696,20.48209388,20.29086084,0.001888586,0.191233045,101.2572575,40.10852321
flex08_220_c.csv,sensor1, sensor2,1.643,Crack 3,6423.851969,6489.171119,1340,1501,1417,1417,6427.351285,20.48491407,20.29206474,0.001888586,0.192849329,102.1130742,40.18162702
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 1,3820.586332,3837.916902,589,723,670,670,3844.622257,20.34793549,20.32697077,0.000696157,0.020964721,30.11492061,29.57563445
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 1,3833.138243,3827.590041,878,1041,965,965,3814.968047,20.3462427,20.32689064,0.000696157,0.019352064,27.7984072,28.88039825
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 2,3810.302523,3809.119257,365,498,439,439,3811.831957,20.3994431,20.32656342,0.000696157,0.072879679,104.6885245,40.39798158
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 2,3815.660039,3819.606273,1138,1284,1207,1207,3819.514915,20.3997812,20.32675552,0.000696157,0.073025676,104.8982437,40.41536434
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 3,3836.256404,3817.075363,146,295,227,227,3826.757074,20.47167577,20.32675144,0.000696157,0.144924337,208.1775771,46.36867899
flex08_440_a.csv,sensor1, sensor2,1.167,Crack 3,3826.741633,3859.311087,1362,1529,1428,1428,3841.25411,20.47000252,20.32712543,0.000696157,0.142877086,205.2367888,46.24510422
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 1,3817.737205,3825.842558,579,713,642,642,3841.303144,20.34402565,20.32266906,0.000708469,0.021356586,30.14469904,29.58421904
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 1,3831.354746,3824.073091,854,1005,921,921,3820.669503,20.3436592,20.32272623,0.000708469,0.020932966,29.546762,29.41019788
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 2,3811.865111,3805.318759,359,484,423,423,3809.121349,20.39838665,20.3229825,0.000708469,0.075404149,106.432524,40.54148723
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 2,3813.058122,3818.155242,1107,1250,1173,1173,3816.160214,20.39875959,20.32307126,0.000708469,0.075688322,106.8336325,40.57415991
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 3,3838.927862,3816.359966,144,283,216,216,3822.431897,20.47238415,20.32313244,0.000708469,0.149251711,210.6679334,46.4719687
flex08_440_b.csv,sensor1, sensor2,1.167,Crack 3,3827.084494,3852.267303,1325,1481,1394,1394,3837.579079,20.47197801,20.32252769,0.000708469,0.149450318,210.9482664,46.48351921
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 1,3819.488444,3828.004386,549,673,604,604,3840.564077,20.3351529,20.31504547,0.00091442,0.020107437,21.98927015,26.8442163
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 1,3830.321043,3828.951647,826,977,884,884,3826.422042,20.33465248,20.31515435,0.00091442,0.019498131,21.32293972,26.57694158
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 2,3808.661166,3805.283708,310,454,388,388,3809.23194,20.3863491,20.31408245,0.00091442,0.072266652,79.03000827,37.95584055
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 2,3814.181004,3816.630251,1066,1203,1127,1127,3816.884776,20.38590786,20.31459986,0.00091442,0.071307997,77.98163412,37.83984663
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 3,3837.40037,3816.764592,98,244,181,181,3827.396265,20.45685374,20.31466303,0.00091442,0.142190705,155.4981764,43.834506
flex08_440_c.csv,sensor1, sensor2,1.167,Crack 3,3826.748545,3851.699318,1280,1422,1346,1346,3843.668118,20.45453997,20.31527762,0.00091442,0.139262346,152.2957555,43.65375599
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 1,2654.64239,2649.331664,546,683,619,619,2664.129685,20.75642568,20.73958951,0.001543591,0.016836171,10.90714592,20.75422247
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 1,2640.651128,2636.188225,819,976,896,896,2633.837224,20.75474724,20.73904519,0.001543591,0.015702058,10.17242193,20.14848731
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 2,2637.659526,2648.633237,332,470,406,406,2642.416278,20.79882041,20.73867903,0.001543591,0.060141382,38.96199575,31.81282389
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 2,2633.042799,2638.461006,1066,1212,1135,1135,2639.130816,20.79906883,20.73827002,0.001543591,0.060798807,39.38790165,31.9072569
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 3,2637.320933,2634.61272,124,272,206,206,2636.25779,20.86280233,20.73731374,0.001543591,0.125488592,81.2965354,38.20144075
flex08_660_a.csv,sensor1, sensor2,0.955,Crack 3,2631.644727,2642.10982,1283,1425,1345,1345,2639.746052,20.86226797,20.73956369,0.001543591,0.122704283,79.49274836,38.00655025
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 1,2656.607073,2648.163469,491,625,568,568,2660.206065,20.75412253,20.74019225,0.000687972,0.013930281,20.24832997,26.12778419
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 1,2648.612768,2636.156906,777,914,858,858,2639.845645,20.75609886,20.74022516,0.000687972,0.015873697,23.07317822,27.26214841
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 2,2636.908856,2647.04512,275,409,348,348,2643.858816,20.79688423,20.74011749,0.000687972,0.056766732,82.51316286,38.33046469
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 2,2637.900853,2635.954287,1022,1164,1092,1092,2636.002454,20.79762581,20.74030291,0.000687972,0.057322898,83.32157612,38.41514953
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 3,2637.189605,2633.957146,76,222,152,152,2639.627121,20.85641242,20.73958612,0.000687972,0.116826299,169.8126179,44.59939914
flex08_660_b.csv,sensor1, sensor2,0.955,Crack 3,2629.544331,2639.548297,1237,1379,1302,1302,2641.497578,20.85786503,20.73992195,0.000687972,0.117943079,171.4359111,44.682036
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 1,2657.904882,2659.200104,497,616,555,555,2672.152266,20.73950383,20.72526807,0.000624386,0.01423576,22.79960176,27.15854523
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 1,2642.074619,2635.415486,738,887,814,814,2631.650875,20.73939409,20.7252068,0.000624386,0.014187297,22.72198416,27.12892506
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 2,2638.422528,2646.254496,285,405,352,352,2646.300748,20.77778344,20.7256233,0.000624386,0.052160137,83.53824197,38.43770663
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 2,2634.857041,2631.801056,983,1117,1054,1054,2638.909567,20.77726822,20.72524363,0.000624386,0.052024597,83.3211639,38.41510656
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 3,2639.8956,2633.668599,71,220,154,154,2643.634487,20.83104902,20.72576599,0.000624386,0.105283032,168.6184097,44.53809978
flex08_660_c.csv,sensor1, sensor2,0.955,Crack 3,2632.267551,2639.63743,1190,1329,1260,1260,2648.734365,20.83109733,20.72556873,0.000624386,0.105528598,169.0117008,44.55833544
